건물번호,건물유형,연면적(m2),냉방면적(m2),태양광용량(kW),ESS저장용량(kWh),PCS용량(kW)
1,건물기타,110634,39570,-,-,-
2,건물기타,122233.47,99000,-,-,-
3,건물기타,171243,113950,40,-,-
4,건물기타,74312.98,34419.62,60,-,-
5,건물기타,205884,150000,-,2557,1000
6,건물기타,205754,74565,-,-,-
7,건물기타,101711.52,41341.1,-,800,300
8,건물기타,75344.54,24117,-,-,-
9,건물기타,222882.35,15651.18,-,-,-
10,건물기타,31062,18637,-,-,-
11,건물기타,45956.56,13190.98,447.2,-,-
12,건물기타,70163.1,3598.21,130.6,-,-
13,건물기타,5578.4,3500,-,-,-
14,건물기타,16844.16,14102.92,56,-,-
15,건물기타,167012.31,167012.31,-,-,-
16,공공,240038,95175,20,-,-
17,공공,66467,46896,-,-,-
18,공공,75624.56,39915.1,64.8,-,-
19,공공,90730.4,90730,-,1362,500
20,공공,12872877,10941945,-,-,-
21,공공,61469.67,43970.64,70,837.1,500
22,공공,61375.47,19800,110,-,-
23,공공,32236.11,16565,-,-,-
24,대학교,659696.91,516097.85,97.65,-,-
25,대학교,528014.05,369812.24,50,-,-
26,대학교,386466.9,162020,26.64,-,-
27,대학교,578484.113,501381.53,30,-,-
28,대학교,249494,130520,50,-,-
29,대학교,199623,77202,25,-,-
30,대학교,155785,106305,20,-,-
31,대학교,201781,119836,83.72,-,-
32,데이터센터,35300,14687,-,-,-
33,데이터센터,28059,20397,-,-,-
34,데이터센터,10665,9402,-,-,-
35,데이터센터,9736,6070,-,-,-
36,데이터센터,8816.49,8816.49,-,-,-
37,백화점및아울렛,98528.77,75517.52,35,-,-
38,백화점및아울렛,58763.89,35136.56,-,-,-
39,백화점및아울렛,126835,65596,-,-,-
40,백화점및아울렛,58483,40775,-,-,-
41,백화점및아울렛,161950.4,60579.45,-,-,-
42,백화점및아울렛,97915.1,72000,-,-,-
43,백화점및아울렛,148883.85,35633.2,-,-,-
44,백화점및아울렛,78116.83,76458.32,-,-,-
45,병원,86787.03,70579,-,-,-
46,병원,85869.49,78675,100.56,-,-
47,병원,191624,163255,-,-,-
48,병원,66729,50000,200,-,-
49,병원,112953.61,70301,46.2,-,-
50,병원,91967,75836,3,-,-
51,병원,88242.76,80566,-,-,-
52,병원,91634.21,69227.19,25,-,-
53,상용,149246,110759,-,-,-
54,상용,109400.2,65803.57,-,-,-
55,상용,25341.87,13040.1,-,-,-
56,상용,42666.54,7259.1,-,-,-
57,상용,105473.46,55586.72,200,-,-
58,상용,14897,7071.92,9.45,-,-
59,상용,105500.72,84402,-,-,-
60,상용,188902.07,142187.28,365,-,-
61,아파트,667131,539213,-,-,-
62,아파트,233187,178666,-,-,-
63,아파트,187737,158300,-,-,-
64,아파트,240551,198767,-,-,-
65,아파트,183839,0,-,-,-
66,아파트,105073,0,-,-,-
67,아파트,85244,59671,-,-,-
68,아파트,389395.928,0,-,-,-
69,연구소,139928.73,111183.19,14.4,-,-
70,연구소,141014,120000,28.44,-,-
71,연구소,90896,44536,65,3100,800
72,연구소,31503,12667,95,-,-
73,연구소,109894.22,87915.2,60.45,-,-
74,연구소,253743,142705,621,-,-
75,연구소,88898.41,51561.08,-,-,-
76,연구소,38668.17,38452.11,100,-,-
77,지식산업센터,67377.14,1,-,-,-
78,지식산업센터,136921,71771,-,-,-
79,지식산업센터,212995.84,103115.37,-,-,-
80,지식산업센터,256370.24,239,-,-,-
81,지식산업센터,115358.28,65020.94,-,-,-
82,지식산업센터,225651,114772,-,-,-
83,지식산업센터,199116.93,99603.87,-,-,-
84,지식산업센터,174408.2,109973.1,-,-,-
85,할인마트,71591,35000,-,-,-
86,할인마트,54866.51,30953,97.85,-,-
87,할인마트,65118,34007,-,-,-
88,할인마트,48452.52,30309.69,-,-,-
89,할인마트,78454,13362,-,-,-
90,할인마트,77917,35676,-,-,-
91,할인마트,63865,49258,-,-,-
92,할인마트,80491,18549.5,98.28,-,-
93,호텔및리조트,34845.18,31124,21.6,-,-
94,호텔및리조트,62156,56060,-,-,-
95,호텔및리조트,196992.54,57022.55,-,-,-
96,호텔및리조트,93314,60500,-,-,-
97,호텔및리조트,55144.67,25880,-,-,-
98,호텔및리조트,53578.62,17373.75,-,-,-
99,호텔및리조트,53499,40636,-,-,-
100,호텔및리조트,57497.84,40035.23,-,-,-
